Rank,Name,Name Link,Symbol,Industry,2022 Revenue (USD millions),Revenue Growth,Employees,Headquarters City,Headquarters Link,Headquarters Geo Loc
1,Walmart,https://en.wikipedia.org/wiki/Walmart,WMT,Retail,"572,754", 2.4%,"2,300,000","Bentonville, Arkansas","https://en.wikipedia.org/wiki/Bentonville,_Arkansas","36.366667, -94.213333"
2,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),AMZN,Retail,"469,822", 21.7%,"1,608,000","Seattle, Washington",https://en.wikipedia.org/wiki/Seattle,"47.609722, -122.333056"
3,Apple,https://en.wikipedia.org/wiki/Apple_Inc,AAPL,Technology,"365,817", 33.2%,"154,000","Cupertino, California","https://en.wikipedia.org/wiki/Cupertino,_California","37.323056, -122.031944"
4,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,CVS,Healthcare,"292,111", 32.0%,"258,000","Woonsocket, Rhode Island","https://en.wikipedia.org/wiki/Woonsocket,_Rhode_Island","42.008333, -71.516111"
5,UnitedHealth Group,https://en.wikipedia.org/wiki/UnitedHealth_Group,UNH,Healthcare,"287,597", 11.8%,"350,000","Minnetonka, Minnesota","https://en.wikipedia.org/wiki/Minnetonka,_Minnesota","44.913333, -93.503333"
6,Exxon Mobil,https://en.wikipedia.org/wiki/Exxon_Mobil,XOM,Petroluem Industry,"285,640", 57.4%,"63,000","Irving, Texas","https://en.wikipedia.org/wiki/Irving,_Texas","32.816667, -96.95"
7,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,BRK-A,Conglomerate,"276,094", 12.5%,"372,000","Omaha, Nebraska","https://en.wikipedia.org/wiki/Omaha,_Nebraska","41.258611, -95.9375"
8,Alphabet,https://en.wikipedia.org/wiki/Alphabet_Inc,GOOG,Technology,"257,637", 41.2%,"156,000","Mountain View, California","https://en.wikipedia.org/wiki/Mountain_View,_California","37.389444, -122.081944"
9,McKesson Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation,MCK,Healthcare,"238,228", 3.1%,"67,500","Irving, Texas","https://en.wikipedia.org/wiki/Irving,_Texas","32.816667, -96.95"
10,AmerisourceBergen,https://en.wikipedia.org/wiki/AmerisourceBergen,ABC,Pharmaceuticals,"213,989", 12.7%,"40,000","Chesterbrook, Pennsylvania","https://en.wikipedia.org/wiki/Chesterbrook,_Pennsylvania","40.074444, -75.455"
11,Microsoft,https://en.wikipedia.org/wiki/Microsoft,MSFT,Technology,"198,087", 17.5%,"181,000","Redmond, Washington","https://en.wikipedia.org/wiki/Redmond,_Washington","47.669444, -122.123889"
12,Costco,https://en.wikipedia.org/wiki/Costco,COST,Retail,"195,929", 17.5%,"288,000","Issaquah, Washington","https://en.wikipedia.org/wiki/Issaquah,_Washington","47.535556, -122.043333"
13,Cigna,https://en.wikipedia.org/wiki/Cigna,CI,Healthcare,"174,078", 8.5%,"72,963","Bloomfield, Connecticut","https://en.wikipedia.org/wiki/Bloomfield,_Connecticut","41.85, -72.733333"
14,AT&T,https://en.wikipedia.org/wiki/AT%26T,T,Conglomerate,"168,864", -1.7%,"202,600","Dallas, Texas",https://en.wikipedia.org/wiki/Dallas,"32.779167, -96.808889"
15,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,CAH,Healthcare,"162,467", 6.2%,"46,827","Dublin, Ohio","https://en.wikipedia.org/wiki/Dublin,_Ohio","40.109167, -83.140278"
16,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,CVX,Petroluem Industry,"162,465", 71.6%,"42,595","San Ramon, California","https://en.wikipedia.org/wiki/San_Ramon,_California","37.78, -121.978056"
17,The Home Depot,https://en.wikipedia.org/wiki/The_Home_Depot,HD,Retail,"151,157", 14.4%,"490,600","Atlanta, Georgia",https://en.wikipedia.org/wiki/Atlanta,"33.748889, -84.39"
18,Walgreens Boots Alliance,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance,WBA,Healthcare,"148,579", 6.5%,"258,500","Deerfield, Illinois","https://en.wikipedia.org/wiki/Deerfield,_Illinois","42.168333, -87.851389"
19,Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum,MPC,Petroluem Industry,"141,032", 58.5%,"17,700","Findlay, Ohio","https://en.wikipedia.org/wiki/Findlay,_Ohio","41.042778, -83.642222"
20,Elevance Health,https://en.wikipedia.org/wiki/Anthem_(company),ELV,Healthcare,"138,639", 13.8%,"98,200","Indianapolis, Indiana",https://en.wikipedia.org/wiki/Indianapolis,"39.768611, -86.158056"
21,Kroger,https://en.wikipedia.org/wiki/Kroger,KR,Retail,"137,888", 4.1%,"420,000","Cincinnati, Ohio",https://en.wikipedia.org/wiki/Cincinnati,"39.1031182, -84.5120196"
22,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,F,Automotive,"136,341", 7.2%,"183,000","Dearborn, Michigan","https://en.wikipedia.org/wiki/Dearborn,_Michigan","42.314444, -83.213333"
23,Verizon Communications,https://en.wikipedia.org/wiki/Verizon_Communications,VZ,Telecommunications,"133,613", 4.1%,"118,400","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
24,JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,JPM,Financial,"127,202", -1.8%,"271,025","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
25,General Motors,https://en.wikipedia.org/wiki/General_Motors,GM,Automotive,"127,004", 3.7%,"157,000","Detroit, Michigan",https://en.wikipedia.org/wiki/Detroit,"42.331389, -83.045833"
26,Centene,https://en.wikipedia.org/wiki/Centene,CNC,Healthcare,"125,982", 13.4%,"72,500","St. Louis, Missouri",https://en.wikipedia.org/wiki/St._Louis,"38.627222, -90.197778"
27,Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms,META,Technology,"117,385", 37.2%,"71,970","Menlo Park, California","https://en.wikipedia.org/wiki/Menlo_Park,_California","37.452778, -122.183333"
28,Comcast,https://en.wikipedia.org/wiki/Comcast,CMCSA,Telecommunications,"116,385", 12.4%,"189,000","Philadelphia, Pennsylvania",https://en.wikipedia.org/wiki/Philadelphia,"39.952778, -75.163611"
